catalogue_key,catalogue_name,unit,engine_activity_key,engine_name,engine_region,engine_source
cat1.material.water_supply,Water supply,cubic metres,desnz.2025.17_404_4005_1,Water supply / Water supply / Water supply,UK,DESNZ UK Government GHG conversion factors
cat1.material.water_supply,Water supply,million litres,desnz.2025.17_404_4005_10,Water supply / Water supply / Water supply,UK,DESNZ UK Government GHG conversion factors
cat4.air_freight,Air freight,tonne.km,desnz.2025.27_317_3158_14,"Freighting goods / Freight flights / International, to / from non-UK (With RF)",UK,DESNZ UK Government GHG conversion factors
cat4.courier,Courier / parcel,km,desnz.2025.27_303_3102_4,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.courier,Courier / parcel,miles,desnz.2025.27_303_3102_9,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.courier,Courier / parcel,tonne.km,desnz.2025.27_303_3102_14,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.rail,Rail freight,tonne.km,desnz.2025.27_315_3151_14,Freighting goods / Rail / Freight train,UK,DESNZ UK Government GHG conversion factors
cat4.road_hgv,Road freight — HGV by size/load,km,desnz.2025.27_304_3140_4,Freighting goods / HGV (all diesel) / All HGVs (Average laden),UK,DESNZ UK Government GHG conversion factors
cat4.road_hgv,Road freight — HGV by size/load,miles,desnz.2025.27_304_3140_9,Freighting goods / HGV (all diesel) / All HGVs (Average laden),UK,DESNZ UK Government GHG conversion factors
cat4.road_hgv,Road freight — HGV by size/load,tonne.km,desnz.2025.27_304_3140_14,Freighting goods / HGV (all diesel) / All HGVs (Average laden),UK,DESNZ UK Government GHG conversion factors
cat4.road_lcv,Road freight — LCV / van,km,desnz.2025.27_303_3102_4,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.road_lcv,Road freight — LCV / van,miles,desnz.2025.27_303_3102_9,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.road_lcv,Road freight — LCV / van,tonne.km,desnz.2025.27_303_3102_14,Freighting goods / Vans / Average (up to 3.5 tonnes) (Diesel),UK,DESNZ UK Government GHG conversion factors
cat4.sea_bulk,Sea freight — bulk carrier,tonne.km,desnz.2025.27_320_3221_14,Freighting goods / Cargo ship / Bulk carrier / Average,UK,DESNZ UK Government GHG conversion factors
cat4.sea_container,Sea freight — container,tonne.km,desnz.2025.27_320_3235_14,Freighting goods / Cargo ship / Container ship / Average,UK,DESNZ UK Government GHG conversion factors
cat5.anaerobic_digestion,Anaerobic digestion,tonnes,desnz.2025.20_507_5307_15,Waste disposal / Refuse / Organic: mixed food and garden waste (Anaerobic digestion),UK,DESNZ UK Government GHG conversion factors
cat5.composting,Composting,tonnes,desnz.2025.20_507_5305_15,Waste disposal / Refuse / Organic: mixed food and garden waste (Composting),UK,DESNZ UK Government GHG conversion factors
cat5.incineration_energy,Incineration with energy recovery,tonnes,desnz.2025.20_507_5311_15,Waste disposal / Refuse / Commercial and industrial waste (Incineration with Energy Recovery),UK,DESNZ UK Government GHG conversion factors
cat5.landfill_mixed,Landfill — mixed municipal waste,tonnes,desnz.2025.20_507_5313_15,Waste disposal / Refuse / Commercial and industrial waste (Landfill),UK,DESNZ UK Government GHG conversion factors
cat5.landfill_organic,Landfill — organic waste,tonnes,desnz.2025.20_507_5306_15,Waste disposal / Refuse / Organic: mixed food and garden waste (Landfill),UK,DESNZ UK Government GHG conversion factors
cat5.wastewater_treated,Wastewater sent for off-site treatment,cubic metres,desnz.2025.18_405_4006_1,Water treatment / Water treatment / Water treatment,UK,DESNZ UK Government GHG conversion factors
cat5.wastewater_treated,Wastewater sent for off-site treatment,million litres,desnz.2025.18_405_4006_10,Water treatment / Water treatment / Water treatment,UK,DESNZ UK Government GHG conversion factors
cat6.air_domestic_economy,"Air — domestic, economy",passenger.km,desnz.2025.21_316_3160_11,"Business travel- air / Flights / Domestic, to / from UK / Average passenger (With RF)",UK,DESNZ UK Government GHG conversion factors
