factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,geography,publication_year,source,source_version,licence,retrieved_on
cea.grid.weighted_average.2016_17,"Grid electricity — weighted average emission rate, FY 2016-17",2,Purchased electricity / India grid,kWh,CO2,0.828028,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2017_18,"Grid electricity — weighted average emission rate, FY 2017-18",2,Purchased electricity / India grid,kWh,CO2,0.821879,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2018_19,"Grid electricity — weighted average emission rate, FY 2018-19",2,Purchased electricity / India grid,kWh,CO2,0.824692,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2019_20,"Grid electricity — weighted average emission rate, FY 2019-20",2,Purchased electricity / India grid,kWh,CO2,0.796853,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2020_21,"Grid electricity — weighted average emission rate, FY 2020-21",2,Purchased electricity / India grid,kWh,CO2,0.792709,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2021_22,"Grid electricity — weighted average emission rate, FY 2021-22",2,Purchased electricity / India grid,kWh,CO2,0.814579,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2022_23,"Grid electricity — weighted average emission rate, FY 2022-23",2,Purchased electricity / India grid,kWh,CO2,0.827227,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2023_24,"Grid electricity — weighted average emission rate, FY 2023-24",2,Purchased electricity / India grid,kWh,CO2,0.843514,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2024_25,"Grid electricity — weighted average emission rate, FY 2024-25",2,Purchased electricity / India grid,kWh,CO2,0.833651,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2025_26,"Grid electricity — weighted average emission rate, FY 2025-26",2,Purchased electricity / India grid,kWh,CO2,0.822611,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2016_17,"Grid electricity — weighted average emission rate, FY 2016-17",2,Purchased electricity / India grid,kWh,CO2,0.823733,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2017_18,"Grid electricity — weighted average emission rate, FY 2017-18",2,Purchased electricity / India grid,kWh,CO2,0.817789,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2018_19,"Grid electricity — weighted average emission rate, FY 2018-19",2,Purchased electricity / India grid,kWh,CO2,0.821409,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2019_20,"Grid electricity — weighted average emission rate, FY 2019-20",2,Purchased electricity / India grid,kWh,CO2,0.792552,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2020_21,"Grid electricity — weighted average emission rate, FY 2020-21",2,Purchased electricity / India grid,kWh,CO2,0.786324,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2021_22,"Grid electricity — weighted average emission rate, FY 2021-22",2,Purchased electricity / India grid,kWh,CO2,0.809580,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2022_23,"Grid electricity — weighted average emission rate, FY 2022-23",2,Purchased electricity / India grid,kWh,CO2,0.823030,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2023_24,"Grid electricity — weighted average emission rate, FY 2023-24",2,Purchased electricity / India grid,kWh,CO2,0.841207,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2024_25,"Grid electricity — weighted average emission rate, FY 2024-25",2,Purchased electricity / India grid,kWh,CO2,0.830820,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average.2025_26,"Grid electricity — weighted average emission rate, FY 2025-26",2,Purchased electricity / India grid,kWh,CO2,0.818232,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2016_17,"Grid electricity — weighted average including renewables, FY 2016-17",2,Purchased electricity / India grid,kWh,CO2,0.769321,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2017_18,"Grid electricity — weighted average including renewables, FY 2017-18",2,Purchased electricity / India grid,kWh,CO2,0.753481,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2018_19,"Grid electricity — weighted average including renewables, FY 2018-19",2,Purchased electricity / India grid,kWh,CO2,0.743775,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2019_20,"Grid electricity — weighted average including renewables, FY 2019-20",2,Purchased electricity / India grid,kWh,CO2,0.712142,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2020_21,"Grid electricity — weighted average including renewables, FY 2020-21",2,Purchased electricity / India grid,kWh,CO2,0.702559,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2021_22,"Grid electricity — weighted average including renewables, FY 2021-22",2,Purchased electricity / India grid,kWh,CO2,0.715207,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2022_23,"Grid electricity — weighted average including renewables, FY 2022-23",2,Purchased electricity / India grid,kWh,CO2,0.719131,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2023_24,"Grid electricity — weighted average including renewables, FY 2023-24",2,Purchased electricity / India grid,kWh,CO2,0.728862,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2024_25,"Grid electricity — weighted average including renewables, FY 2024-25",2,Purchased electricity / India grid,kWh,CO2,0.712140,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2025_26,"Grid electricity — weighted average including renewables, FY 2025-26",2,Purchased electricity / India grid,kWh,CO2,0.678033,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2016_17,"Grid electricity — weighted average including renewables, FY 2016-17",2,Purchased electricity / India grid,kWh,CO2,0.765612,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2017_18,"Grid electricity — weighted average including renewables, FY 2017-18",2,Purchased electricity / India grid,kWh,CO2,0.750042,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2018_19,"Grid electricity — weighted average including renewables, FY 2018-19",2,Purchased electricity / India grid,kWh,CO2,0.741104,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2019_20,"Grid electricity — weighted average including renewables, FY 2019-20",2,Purchased electricity / India grid,kWh,CO2,0.708705,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
cea.grid.weighted_average_incl_res.2020_21,"Grid electricity — weighted average including renewables, FY 2020-21",2,Purchased electricity / India grid,kWh,CO2,0.697539,IN,2026,"CEA CO2 Baseline Database (Central Electricity Authority, India)","v22.0, published 2026-08-01",Public sector information — attribute version and year,2026-09-25
