factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,geography,publication_year,source,source_version,licence,retrieved_on
desnz.2025.1_100_1000_15_1,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,tonnes,CO2e,3033.38067,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_15_2,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,tonnes,CO2,3029.26,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_15_3,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,tonnes,CH4,2.52,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_15_4,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,tonnes,N2O,1.60067,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_8_1,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,litres,CO2e,1.74533,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_8_2,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,litres,CO2,1.74296,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_8_3,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,litres,CH4,0.00144,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_8_4,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,litres,N2O,0.00092,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_7_1,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Net CV),CO2e,0.24107,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_7_2,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Net CV),CO2,0.24074,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_7_3,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Net CV),CH4,0.0002,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_7_4,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Net CV),N2O,0.00012,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_6_1,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Gross CV),CO2e,0.22241,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_6_2,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Gross CV),CO2,0.2221,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_6_3,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Gross CV),CH4,0.00019,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1000_6_4,Fuels — Gaseous fuels — Butane,1,Fuels / Gaseous fuels / Butane,kWh (Gross CV),N2O,0.00012,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_15_1,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,tonnes,CO2e,2575.46441,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_15_2,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,tonnes,CO2,2570.42,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_15_3,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,tonnes,CH4,3.8528,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_15_4,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,tonnes,N2O,1.19161,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_8_1,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,litres,CO2e,0.4507,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_8_2,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,litres,CO2,0.44982,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_8_3,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,litres,CH4,0.00067,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_8_4,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,litres,N2O,0.0002,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_7_1,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Net CV),CO2e,0.2027,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_7_2,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Net CV),CO2,0.20229,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_7_3,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Net CV),CH4,0.00031,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_7_4,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Net CV),N2O,0.0001,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_6_1,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Gross CV),CO2e,0.18296,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_6_2,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Gross CV),CO2,0.18259,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_6_3,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Gross CV),CH4,0.00028,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1001_6_4,Fuels — Gaseous fuels — CNG,1,Fuels / Gaseous fuels / CNG,kWh (Gross CV),N2O,9e-05,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_15_1,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,tonnes,CO2e,2603.30441,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_15_2,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,tonnes,CO2,2598.26,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_15_3,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,tonnes,CH4,3.8528,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_15_4,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,tonnes,N2O,1.19161,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_8_1,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,litres,CO2e,1.17797,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_8_2,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,litres,CO2,1.17568,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_8_3,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,litres,CH4,0.00175,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_8_4,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,litres,N2O,0.00054,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_1,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),CO2e,0.20489,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
desnz.2025.1_100_1002_7_2,Fuels — Gaseous fuels — LNG,1,Fuels / Gaseous fuels / LNG,kWh (Net CV),CO2,0.20448,UK,2025,DESNZ UK Government GHG conversion factors,"2025, flat format v1",Open Government Licence v3.0,2026-09-25
