factor_id,name,scope,category_path,unit,gas,value_kgco2e_per_unit,gas_mass_kg_per_unit,co2e_basis,geography,publication_year,source,source_version,licence,retrieved_on
epa.useeio.v1_3.naics111110,Purchased goods and services — Soybean Farming (spend-based),3,Purchased goods and services / NAICS 111110,USD,CO2e,0.532,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111120,Purchased goods and services — Oilseed (except Soybean) Farming (spend-based),3,Purchased goods and services / NAICS 111120,USD,CO2e,0.532,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111130,Purchased goods and services — Dry Pea and Bean Farming (spend-based),3,Purchased goods and services / NAICS 111130,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111140,Purchased goods and services — Wheat Farming (spend-based),3,Purchased goods and services / NAICS 111140,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111150,Purchased goods and services — Corn Farming (spend-based),3,Purchased goods and services / NAICS 111150,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111160,Purchased goods and services — Rice Farming (spend-based),3,Purchased goods and services / NAICS 111160,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111191,Purchased goods and services — Oilseed and Grain Combination Farming (spend-based),3,Purchased goods and services / NAICS 111191,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111199,Purchased goods and services — All Other Grain Farming (spend-based),3,Purchased goods and services / NAICS 111199,USD,CO2e,0.848,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111211,Purchased goods and services — Potato Farming (spend-based),3,Purchased goods and services / NAICS 111211,USD,CO2e,0.631,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111219,Purchased goods and services — Other Vegetable (except Potato) and Melon Farming (spend-based),3,Purchased goods and services / NAICS 111219,USD,CO2e,0.631,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111310,Purchased goods and services — Orange Groves (spend-based),3,Purchased goods and services / NAICS 111310,USD,CO2e,0.488,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111320,Purchased goods and services — Citrus (except Orange) Groves (spend-based),3,Purchased goods and services / NAICS 111320,USD,CO2e,0.488,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111331,Purchased goods and services — Apple Orchards (spend-based),3,Purchased goods and services / NAICS 111331,USD,CO2e,0.488,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
epa.useeio.v1_3.naics111332,Purchased goods and services — Grape Vineyards (spend-based),3,Purchased goods and services / NAICS 111332,USD,CO2e,0.488,,AR5 (EPA: 100-year GWPs from IPCC AR5),US,2022,"EPA Supply Chain GHG Emission Factors v1.3 (USEEIO), purchaser price, 2022 USD","v1.3.0, NAICS-6, with margins",US federal work — public domain,2026-09-25
